experiment,assessment,flume,core,depth,boat.weight.g,volume,wet.total.g,wet.weight.g,dry.total.g,dry.weight.g,porosity,flag
Mangrove_13,post-hurricane,2,1,0-1,1.719,2,4.025,2.306,2.597,0.878,0.714,duplicated measurements from Mangrove_12
Mangrove_13,post-hurricane,2,1,1-2,1.813,2,4.173,2.36,2.812,0.999,0.6805,duplicated measurements from Mangrove_12
Mangrove_13,post-hurricane,2,1,2-3,1.816,2,4.162,2.346,2.736,0.92,0.713,duplicated measurements from Mangrove_12
Mangrove_13,post-hurricane,2,3,0-1,1.832,2,4.21,2.378,2.773,0.941,0.7185,duplicated measurements from Mangrove_12
Mangrove_13,post-hurricane,2,3,1-2,1.971,2,4.509,2.538,3.105,1.134,0.702,duplicated measurements from Mangrove_12
Mangrove_13,post-hurricane,2,3,2-3,1.978,2,4.396,2.418,3.047,1.069,0.6745,duplicated measurements from Mangrove_12
Mangrove_14,post-hurricane,1,1,0-1,2.014,2,4.246,2.232,2.847,0.833,0.6995,
Mangrove_14,post-hurricane,1,2,0-1,1.885,2,4.112,2.227,2.733,0.848,0.6895,
Mangrove_14,post-hurricane,1,3,0-1,1.987,2,4.148,2.161,2.761,0.774,0.6935,
Mangrove_14,post-hurricane,2,1,0-1,2.025,2,4.275,2.25,2.837,0.812,0.719,
Mangrove_14,post-hurricane,2,2,0-1,1.884,2,4.05,2.166,2.574,0.69,0.738,
Mangrove_14,post-hurricane,2,3,0-1,1.989,2,4.232,2.243,NA,NA,NA,
Mangrove_14,post-hurricane,3,1,0-1,2.017,2,4.233,2.216,2.774,0.757,0.7295,
Mangrove_14,post-hurricane,3,2,0-1,2.021,2,4.237,2.216,2.781,0.76,0.728,
Mangrove_14,post-hurricane,3,3,0-1,1.974,2,4.137,2.163,2.733,0.759,0.702,
Mangrove_14,post-hurricane,4,1,0-1,1.956,2,4.135,2.179,2.688,0.732,0.7235,
Mangrove_14,post-hurricane,4,2,0-1,1.986,2,4.159,2.173,2.721,0.735,0.719,
Mangrove_14,post-hurricane,4,3,0-1,1.927,2,4.033,2.106,2.66,0.733,0.6865,
Mangrove_15,post-hurricane,1,1,0-1,2.014,2,4.246,2.232,2.847,0.833,0.6995,
Mangrove_15,post-hurricane,1,2,0-1,1.885,2,4.112,2.227,2.733,0.848,0.6895,duplicated measurements from Mangrove_14
Mangrove_15,post-hurricane,1,3,0-1,1.987,2,4.148,2.161,2.761,0.774,0.6935,duplicated measurements from Mangrove_14
Mangrove_15,post-hurricane,2,1,0-1,2.025,2,4.275,2.25,2.837,0.812,0.719,duplicated measurements from Mangrove_14
Mangrove_15,post-hurricane,2,2,0-1,1.884,2,4.05,2.166,2.574,0.69,0.738,duplicated measurements from Mangrove_14
Mangrove_15,post-hurricane,2,3,0-1,1.989,2,4.232,2.243,NA,NA,NA,duplicated measurements from Mangrove_14
Mangrove_15,post-hurricane,3,1,0-1,2.017,2,4.233,2.216,2.774,0.757,0.7295,duplicated measurements from Mangrove_14
Mangrove_15,post-hurricane,3,2,0-1,2.021,2,4.237,2.216,2.781,0.76,0.728,duplicated measurements from Mangrove_14
Mangrove_15,post-hurricane,3,3,0-1,1.974,2,4.137,2.163,2.733,0.759,0.702,duplicated measurements from Mangrove_14
Mangrove_15,post-hurricane,4,1,0-1,1.956,2,4.135,2.179,2.688,0.732,0.7235,duplicated measurements from Mangrove_14
Mangrove_15,post-hurricane,4,2,0-1,1.986,2,4.159,2.173,2.721,0.735,0.719,duplicated measurements from Mangrove_14
Mangrove_15,post-hurricane,4,3,0-1,1.927,2,4.033,2.106,2.66,0.733,0.6865,duplicated measurements from Mangrove_14
